N;l (um);d1 (um);d2 (um);d_mid (um)
1;12.225670;0.254863;0.237906;0.209028
2;8.301558;0.459616;0.335503;0.278805
3;14.497026;0.375859;0.240993;0.226531
4;11.755996;0.203205;0.208820;0.772288
5;18.938834;0.223394;0.141529;0.150115
7;10.969669;0.217015;0.163875;0.268793
8;23.817625;0.095751;0.118207;0.116978
9;12.128269;0.236563;0.322833;0.362637
10;13.030544;0.189627;0.169961;0.273722
11;14.652769;0.511896;0.226342;0.207434
12;19.511690;0.440316;0.153046;0.124693
13;23.058297;0.190357;0.155711;0.106350
14;12.871987;0.404815;0.273678;0.467393
25;11.371;0.266;0.187;0.193
26;16.765;0.18;0.218;0.214
27;24.581;0.18;0.111;0.195
28;25.066;0.148;0.175;0.206
29;21.367;0.143;0.178;0.176
30;21.232;0.164;0.162;0.182
31;4.505;0.169;0.209;0.205
32;15.468;0.315;0.164;0.245
17;16.757251;0.257364;0.173052;0.214315474
18;18.877430;0.184461;0.293350;0.180514
19;14.113150;0.380360;0.185756;0.250068
20;13.932045;0.436614;0.458259;0.271408
21;24.846117;0.126930;0.093169;0.944001
22;17.700001;0.305961;0.126742;0.249984
23;22.666437;0.167705;0.190394;0.182075241
24;14.121208;0.454268;0.217735381;0.292641
